Symbol  ,Price  ,Change  ,Change %  ,Volume  ,Avg Vol (3M)  ,Market Cap  ,P/E Ratio (TTM)  ,52 Wk Change %  ,52 Wk Range  ,Day Chart  
  TAL TAL Education Group  , 12.73 +1.93 (+17.87%) , +1.93 , +17.87% , 16.031M ,6.168M , 7.693B ,159.12 ,18.42% , ,   
  FUTU Futu Holdings Limited  , 100.06 +14.38 (+16.78%) , +14.38 , +16.78% , 7.133M ,1.458M , 13.801B ,25.86 ,50.03% , ,   
  ZK ZEEKR Intelligent Technology Holding Limited  , 23.94 +2.85 (+13.51%) , +2.85 , +13.51% , 1.389M ,"518,930 ", 5.927B ,- ,-25.37% , ,   
  NIO NIO Inc.  , 7.32 +0.80 (+12.27%) , +0.80 , +12.27% , 86.264M ,53.094M , 14.556B ,- ,-25.82% , ,   
  BEKE KE Holdings Inc.  , 22.42 +2.42 (+12.10%) , +2.42 , +12.10% , 17.074M ,7.551M , 27.609B ,44.84 ,29.03% , ,   
  MNSO MINISO Group Holding Limited  , 18.95 +1.83 (+10.65%) , +1.83 , +10.65% , 2.989M ,2.091M , 5.924B ,18.40 ,-33.35% , ,   
  EDU New Oriental Education & Technology Group Inc.  , 80.16 +6.69 (+9.11%) , +6.69 , +9.11% , 1.383M ,2.08M , 13.279B ,44.53 ,25.12% , ,   
  BILI Bilibili Inc.  , 24.68 +1.76 (+7.68%) , +1.76 , +7.68% , 6.293M ,5.826M , 9.665B ,- ,68.16% , ,   
  BZ Kanzhun Limited  , 18.55 +1.36 (+7.95%) , +1.36 , +7.95% , 4.174M ,4.84M , 7.74B ,41.21 ,10.91% , ,   
  WB Weibo Corporation  , 10.70 +0.79 (+7.97%) , +0.79 , +7.97% , 1.796M ,1.631M , 2.453B ,8.29 ,-21.22% , ,   
  DJTWW Trump Media & Technology Group Corp.  , 10.24 +0.74 (+7.79%) , +0.74 , +7.79% ," 68,960 ","323,020 ", 3.182B ,- ,-60.08% , ,   
  LKNCY Luckin Coffee Inc.  , 25.82 +1.82 (+7.58%) , +1.82 , +7.58% ," 657,706 ",1.737M , 7.251B ,28.07 ,-32.78% , ,   
  LI Li Auto Inc.  , 27.67 +1.89 (+7.33%) , +1.89 , +7.33% , 5.371M ,7.204M , 29.203B ,20.20 ,-26.74% , ,   
"  ICUI ICU Medical, Inc.  ", 186.99 +12.52 (+7.18%) , +12.52 , +7.18% ," 103,599 ","282,903 ", 4.567B ,- ,47.63% , ,   
  GPCR Structure Therapeutics Inc.  , 44.45 +2.70 (+6.46%) , +2.70 , +6.46% ," 174,968 ","773,952 ", 2.542B ,- ,-26.24% , ,   
  ZIM ZIM Integrated Shipping Services Ltd.  , 25.91 +1.67 (+6.89%) , +1.67 , +6.89% , 3.445M ,5.272M , 3.118B ,- ,144.35% , ,   
"  BGNE BeiGene, Ltd.  ", 232.24 +13.82 (+6.33%) , +13.82 , +6.33% ," 126,015 ","281,158 ", 25.919B ,- ,22.36% , ,   
  DJT Trump Media & Technology Group Corp.  , 15.62 +0.87 (+5.90%) , +0.87 , +5.90% , 5.179M ,9.182M , 3.126B ,- ,-4.41% , ,   
"  QFIN Qifu Technology, Inc.  ", 31.50 +1.92 (+6.49%) , +1.92 , +6.49% , 1.271M ,1.541M , 4.891B ,7.38 ,90.10% , ,   
  CORT Corcept Therapeutics Incorporated  , 46.48 +2.55 (+5.80%) , +2.55 , +5.80% ," 191,710 ","839,785 ", 4.857B ,41.13 ,67.10% , ,   
"  VERA Vera Therapeutics, Inc.  ", 45.83 +2.39 (+5.50%) , +2.39 , +5.50% ," 143,356 ","516,431 ", 2.513B ,- ,235.44% , ,   
  YMM Full Truck Alliance Co. Ltd.  , 9.69 +0.49 (+5.27%) , +0.49 , +5.27% , 9.318M ,8.266M , 10.128B ,28.49 ,31.24% , ,   
"  YUMC Yum China Holdings, Inc.  ", 47.62 +2.27 (+5.01%) , +2.27 , +5.01% , 1.551M ,2.999M , 18.163B ,22.89 ,-18.05% , ,   
"  GSHD Goosehead Insurance, Inc  ", 93.67 +4.72 (+5.30%) , +4.72 , +5.30% ," 209,667 ","279,066 ", 3.461B ,135.75 ,20.91% , ,   
  HTHT H World Group Limited  , 39.61 +1.92 (+5.09%) , +1.92 , +5.09% , 1.407M ,1.953M , 12.826B ,23.72 ,-3.06% , ,   
  TAL TAL Education Group  , 12.73 +1.93 (+17.87%) , +1.93 , +17.87% , 16.031M ,6.168M , 7.693B ,159.12 ,18.42% , ,   
  FUTU Futu Holdings Limited  , 100.06 +14.38 (+16.78%) , +14.38 , +16.78% , 7.133M ,1.458M , 13.801B ,25.86 ,50.03% , ,   
  ZK ZEEKR Intelligent Technology Holding Limited  , 23.94 +2.85 (+13.51%) , +2.85 , +13.51% , 1.389M ,"518,930 ", 5.927B ,- ,-25.37% , ,   
  NIO NIO Inc.  , 7.32 +0.80 (+12.27%) , +0.80 , +12.27% , 86.264M ,53.094M , 14.556B ,- ,-25.82% , ,   
  BEKE KE Holdings Inc.  , 22.42 +2.42 (+12.10%) , +2.42 , +12.10% , 17.074M ,7.551M , 27.609B ,44.84 ,29.03% , ,   
  MNSO MINISO Group Holding Limited  , 18.95 +1.83 (+10.65%) , +1.83 , +10.65% , 2.989M ,2.091M , 5.924B ,18.40 ,-33.35% , ,   
  EDU New Oriental Education & Technology Group Inc.  , 80.16 +6.69 (+9.11%) , +6.69 , +9.11% , 1.383M ,2.08M , 13.279B ,44.53 ,25.12% , ,   
  BILI Bilibili Inc.  , 24.68 +1.76 (+7.68%) , +1.76 , +7.68% , 6.293M ,5.826M , 9.665B ,- ,68.16% , ,   
  BZ Kanzhun Limited  , 18.55 +1.36 (+7.95%) , +1.36 , +7.95% , 4.174M ,4.84M , 7.74B ,41.21 ,10.91% , ,   
  WB Weibo Corporation  , 10.70 +0.79 (+7.97%) , +0.79 , +7.97% , 1.796M ,1.631M , 2.453B ,8.29 ,-21.22% , ,   
  DJTWW Trump Media & Technology Group Corp.  , 10.24 +0.74 (+7.79%) , +0.74 , +7.79% ," 68,960 ","323,020 ", 3.182B ,- ,-60.08% , ,   
  LKNCY Luckin Coffee Inc.  , 25.82 +1.82 (+7.58%) , +1.82 , +7.58% ," 657,706 ",1.737M , 7.251B ,28.07 ,-32.78% , ,   
  LI Li Auto Inc.  , 27.67 +1.89 (+7.33%) , +1.89 , +7.33% , 5.371M ,7.204M , 29.203B ,20.20 ,-26.74% , ,   
"  ICUI ICU Medical, Inc.  ", 186.99 +12.52 (+7.18%) , +12.52 , +7.18% ," 103,599 ","282,903 ", 4.567B ,- ,47.63% , ,   
  GPCR Structure Therapeutics Inc.  , 44.45 +2.70 (+6.46%) , +2.70 , +6.46% ," 174,968 ","773,952 ", 2.542B ,- ,-26.24% , ,   
  ZIM ZIM Integrated Shipping Services Ltd.  , 25.91 +1.67 (+6.89%) , +1.67 , +6.89% , 3.445M ,5.272M , 3.118B ,- ,144.35% , ,   
"  BGNE BeiGene, Ltd.  ", 232.24 +13.82 (+6.33%) , +13.82 , +6.33% ," 126,015 ","281,158 ", 25.919B ,- ,22.36% , ,   
  DJT Trump Media & Technology Group Corp.  , 15.62 +0.87 (+5.90%) , +0.87 , +5.90% , 5.179M ,9.182M , 3.126B ,- ,-4.41% , ,   
"  QFIN Qifu Technology, Inc.  ", 31.50 +1.92 (+6.49%) , +1.92 , +6.49% , 1.271M ,1.541M , 4.891B ,7.38 ,90.10% , ,   
  CORT Corcept Therapeutics Incorporated  , 46.48 +2.55 (+5.80%) , +2.55 , +5.80% ," 191,710 ","839,785 ", 4.857B ,41.13 ,67.10% , ,   
"  VERA Vera Therapeutics, Inc.  ", 45.83 +2.39 (+5.50%) , +2.39 , +5.50% ," 143,356 ","516,431 ", 2.513B ,- ,235.44% , ,   
  YMM Full Truck Alliance Co. Ltd.  , 9.69 +0.49 (+5.27%) , +0.49 , +5.27% , 9.318M ,8.266M , 10.128B ,28.49 ,31.24% , ,   
"  YUMC Yum China Holdings, Inc.  ", 47.62 +2.27 (+5.01%) , +2.27 , +5.01% , 1.551M ,2.999M , 18.163B ,22.89 ,-18.05% , ,   
